구명,대여소번호,대여소 주소,groups,위도,경도
강남구,2301,서울특별시 강남구 압구정로 134현대고등학교 건너편,5,37.524071,127.02179
강남구,2302,서울특별시 강남구 봉은사로 지하 102교보타워 버스정류장,45,37.505581,127.024277
강남구,2303,서울특별시 강남구 학동로 지하 102논현역 7번출구,54,37.511517,127.021477
강남구,2304,서울특별시 강남구 언주로 626신영 ROYAL PALACE앞,95,37.512527,127.035835
강남구,2305,서울특별시 강남구 언주로 734MCM 본사 직영점 앞,194,37.520641,127.034508
강남구,2306,서울특별시 강남구 압구정로 지하 172압구정역 2번 출구 옆,303,37.527122,127.02871699999999
강남구,2307,서울특별시 강남구 압구정로 321압구정 한양 3차 아파트,333,37.528614000000005,127.038559
강남구,2308,서울특별시 강남구 압구정로 311압구정파출소 앞,333,37.529301000000004,127.035599
강남구,2309,서울특별시 강남구 학동로 443강남구 청담동 77-76 (학동로 443 앞 도로),416,37.518902000000004,127.04938500000002
강남구,2310,서울특별시 강남구 학동로 지하 508청담동 맥도날드 옆,479,37.523613,127.040176
강남구,2311,서울특별시 강남구 학동로 지하 508학동로 래미안 아파트 앞,318,37.517773,127.043022
강남구,2312,서울특별시 강남구 영동대로 703청담역 13번 출구 앞,179,37.520579999999995,127.05632800000001
강남구,2313,서울특별시 강남구 도산대로 539금원빌딩,457,37.525116,127.052467
강남구,2314,서울특별시 강남구 영동대로128길 59청담나들목입구,179,37.521275,127.061035
강남구,2315,서울특별시 강남구 봉은사로 지하 601봉은사역 5번출구 옆,145,37.514247999999995,127.06111899999999
강남구,2317,서울특별시 강남구 영동대로112길 66삼성도로공원,145,37.515888000000004,127.0662
강남구,2318,서울특별시 강남구 봉은사로 531삼성중앙역4번출구(문화센터더 라빌),133,37.513577000000005,127.055031
강남구,2319,서울특별시 강남구 테헤란로 435포스코4거리 서측(수협 삼성동 지점),319,37.506607,127.05468
강남구,2320,서울특별시 강남구 남부순환로 지하 2814대치지구대 방향,237,37.491928,127.056969
강남구,2321,서울특별시 강남구 남부순환로 지하 3104학여울역 사거리,129,37.496117,127.06944299999999
강남구,2322,서울특별시 강남구 테헤란로 534삼성역 3번 출구,436,37.508091,127.063103
강남구,2323,서울특별시 강남구 영동대로 308주식회사 오뚜기 정문 앞,475,37.502213,127.06720700000001
강남구,2324,서울특별시 강남구 도곡로 540천주교 대치 2동 교회 옆,475,37.500439,127.066223
강남구,2325,서울특별시 강남구 도곡로 447대치동 버거킹대치점,407,37.49865,127.05931899999999
강남구,2326,서울특별시 강남구 삼성로 350대치동 삼성로,407,37.502396000000005,127.0588
강남구,2327,서울특별시 강남구 강남대로 308뱅뱅사거리 랜드마크타워 앞,465,37.490551,127.03146399999999
강남구,2328,서울특별시 강남구 언주로 506역삼지하보도 7번출구 앞,173,37.503586,127.04264099999999
강남구,2329,서울특별시 강남구 테헤란로 지하 156역삼역 지하보도 2번출구,173,37.502357,127.04319
강남구,2330,서울특별시 강남구 도곡로 183스타벅스 앞,334,37.492199,127.03945900000001
강남구,2331,서울특별시 강남구 언주로 337동영문화센터앞,139,37.498051000000004,127.044601
강남구,2332,서울특별시 강남구 선릉로 435선릉역 3번출구,209,37.504208,127.048965
강남구,2333,서울특별시 강남구 강남대로 240양재역 3번출구 주변,445,37.485157,127.03407299999999
강남구,2334,서울특별시 강남구 선릉로 지하 2288.삼호@ 2동 ( 간선도로),139,37.493759000000004,127.045898
강남구,2335,서울특별시 강남구 남부순환로 27483호선 매봉역 3번출구앞,267,37.486767,127.046761
강남구,2336,서울특별시 강남구 선릉로 지하 228강남세브란스교차로  래미안그레이튼 104동 앞,139,37.494236,127.04746200000001
강남구,2337,서울특별시 강남구 영동대로 101대모산입구역 2번출구 앞,132,37.492077,127.071976
강남구,2339,서울특별시 강남구 언주로 107현대아파트 정문 앞,495,37.483261,127.052299
강남구,2340,서울특별시 강남구 논현로 82삼호물산버스정류장(23370) 옆,420,37.477509000000005,127.045174
강남구,2341,서울특별시 강남구 일원로 127일원역 45번 출구사이,58,37.483311,127.084938
강남구,2342,서울특별시 강남구 개포로 623대청역1번출구 뒤,469,37.494007,127.07951399999999
강남구,2343,서울특별시 강남구 헌릉로 623세곡사거리 대왕파출소 앞,140,37.465317,127.107727
강남구,2344,서울특별시 강남구 헌릉로590길 10리엔파크 2단지 앞,140,37.465061,127.101196
강남구,2347,서울특별시 강남구 언주로 726두산건설 본사,194,37.518639,127.0354
강남구,2348,서울특별시 강남구 테헤란로 501포스코사거리(기업은행),319,37.507233,127.056854
강남구,2349,서울특별시 강남구 테헤란로 지하 156역삼빌딩,173,37.501545,127.03856699999999
강남구,2350,서울특별시 강남구 선릉로69길 19102동 앞,139,37.494823,127.047905
강남구,2351,서울특별시 강남구 광평로 144청소년 수련관 수영장 앞,58,37.483878999999995,127.089027
강남구,2352,서울특별시 강남구 언주로 721서울본부세관(건설회관 앞),194,37.517590000000006,127.035027
강남구,2353,서울특별시 강남구 학동로 342강남구청역 2번출구 뒤,318,37.516811,127.040474
강남구,2354,서울특별시 강남구 영동대로 647청담역 2번출구,179,37.519787,127.05676299999999
강남구,2355,서울특별시 강남구 봉은사로 524삼성역 5~6번 출구,436,37.509121,127.06230900000001
강남구,2356,서울특별시 강남구 학동로 지하 346강남구청,416,37.51807,127.047119
강남구,2357,서울특별시 강남구 언주로89길 7더 오번 빌딩 명동칼국수 앞,173,37.501948999999996,127.04276999999999
강남구,2358,서울특별시 강남구 개포로 30310동 앞,495,37.481384000000006,127.053917
강남구,2359,서울특별시 강남구 논현로10길 29국립국악중고교 정문 맞은편,248,37.475605,127.050377
강남구,2360,서울특별시 강남구 도곡로 205도곡1동 주민센터 교차로,334,37.492809,127.041389
강남구,2361,서울특별시 강남구 신사동 580-7압구정역 교차로,303,37.526844,127.028259
강남구,2362,서울특별시 강남구 신사동 501-5신사동 가로수길 입구,5,37.517635,127.022453
강남구,2363,서울특별시 강남구 도산대로 172 강남 을지병원 교차로,5,37.51918,127.02746599999999
강남구,2364,서울특별시 강남구 도산대로 229 도산대로 렉서스 앞,194,37.52124,127.031898
강남구,2365,서울특별시 강남구 도산대로 333 K+ 타워 앞,479,37.5233,127.038475
강남구,2368,서울특별시 강남구 도곡동 874-1도곡동 경남아파트 건너편,334,37.489342,127.041298
강남구,2369,서울특별시 강남구 대치동 1011KT선릉타워,319,37.505428,127.052872
강남구,2370,서울특별시 강남구 대치동 1026한티역 3번출구,237,37.496552,127.054298
강남구,2371,서울특별시 강남구 언주로 651한국우편사업진흥원,95,37.514748,127.035133
강남구,2372,서울특별시 강남구 삼성로 156 대치역 사거리,129,37.494499,127.063797
강남구,2373,서울특별시 강남구 개포동 181-3개포동역 사거리,494,37.489277,127.065575
강남구,2375,서울특별시 강남구 수서동 728수서역 1번출구 앞,337,37.48735,127.100998
강남구,2376,서울특별시 강남구 수서동 740수서역 6번출구 앞,337,37.486778,127.100517
강남구,2377,서울특별시 강남구 수서동 724-4수서역 5번출구 뒤,337,37.486835,127.102753
강남구,2380,서울특별시 강남구 봉은사로 456삼성동베이직하우스앞,133,37.511696,127.049347
강남구,2381,서울특별시 강남구 논현로 566언주역 6번출구앞,53,37.506367,127.034523
강남구,2382,서울특별시 강남구 역삼로 315-1역삼동 sk뷰 501동 앞,209,37.501343,127.050468
강남구,2383,서울특별시 강남구 헌릉로569길 39-6보금자리정원,76,37.466328000000004,127.09488700000001
강남구,2384,서울특별시 강남구 밤고개로 206자곡사거리,29,37.476028,127.105942
강남구,2385,서울특별시 강남구 학동로 지하 180학동역,95,37.51395,127.030151
강남구,2386,서울특별시 강남구 봉은사로 지하 201sk 동우주유소 앞,53,37.509586,127.04090900000001
강남구,2387,서울특별시 강남구 자곡로 101래미안강남힐즈 사거리,76,37.472454,127.09607700000001
강남구,2388,서울특별시 강남구 삼성로 628강남구 도시관리공단,416,37.516785,127.05161299999999
강남구,2389,서울특별시 강남구 개포로 지하 420경기여자고등학교 후문 (삼성로3길 입구),494,37.48616,127.06723799999999
강남구,2390,서울특별시 강남구 양재대로 478구룡마을 입구 (래미안블레스티지 아파트),355,37.479568,127.064774
강남구,2391,서울특별시 강남구 양재대로 478구룡마을 입구(개포1단지아파트),355,37.479328,127.064278
강남구,2392,서울특별시 강남구 양재대로 379구룡산 입구 (구룡산 서울둘레길 입구),148,37.474579,127.05545
강남구,2393,서울특별시 강남구 논현로2길 6구룡사 앞 교차로 (보도육교),248,37.472,127.05133799999999
강남구,2394,서울특별시 강남구 언주로 21래미안강남포레스트 입구 (보도육교),148,37.479092,127.055397
강남구,2395,서울특별시 강남구 개포로 310개포1단지아파트 입구 (보도육교),148,37.47929,127.055733
강남구,2396,서울특별시 강남구 언주로 118영동3교 북단(우성캐릭터 앞 보도),267,37.485741,127.051048
강남구,2398,서울특별시 강남구 언주로 564더라움,53,37.508109999999995,127.039452
강남구,2401,서울특별시 강남구 일원로 90밀알학교 입구 (삼성서울병원 입구),58,37.486561,127.082672
강남구,2403,서울특별시 강남구 영동대로4길 10공무원연금매점 교차로 (개포주공9단지 입구),132,37.48872,127.07453899999999
강남구,2404,서울특별시 강남구 개포로 지하 522대모산입구역 4번 출구 앞,132,37.49181,127.073158
강남구,2405,서울특별시 강남구 학동로 지하 346청담공원앞 교차로,416,37.518710999999996,127.05085
강남구,2406,서울특별시 강남구 도산대로 138논현동 광명빌딩 앞,5,37.51757,127.02364299999999
강남구,2407,서울특별시 강남구 강남대로 지하 396역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),161,37.498470000000005,127.03011299999999
강남구,2408,서울특별시 강남구 자곡로 260강남한양수자인아파트,29,37.477340999999996,127.113274
강동구,1001,서울특별시 강동구 구천면로 171376 남단사거리,49,37.541805,127.12471799999999
강동구,1002,서울특별시 강동구 올림픽로 702265,49,37.545219,127.12591599999999
강동구,1003,서울특별시 강동구 올림픽로 702367,49,37.543915000000005,127.12545800000001
강동구,1004,서울특별시 강동구 상암로3길 77암사동 534,210,37.553349,127.12886
강동구,1006,서울특별시 강동구 양재대로 1665명일동 304,321,37.55492,127.142799
강동구,1007,서울특별시 강동구 올림픽로 875암사동 139-2,210,37.559063,127.130646
강동구,1008,서울특별시 강동구 올림픽로 지하 776암사동 555,49,37.549549,127.127151
강동구,1009,서울특별시 강동구 천호대로 지하 997성내동 62-1,249,37.538658,127.124214
강동구,1010,서울특별시 강동구 천호대로 1139길동 467,220,37.534481,127.13834399999999
